company,destination,destination_level,origin,cohort_year,period,model,powertrain,units,basis,source_file
kia,CN,country,CN,2024,2024-01..2024-10,Carnival,,1438,retail_sales,kia_2024_retail_sales_by_model_market.xlsx
kia,CN,country,CN,2024,2024-01..2024-10,EV5,,5159,retail_sales,kia_2024_retail_sales_by_model_market.xlsx
kia,africa,region,CN,2024,2024-01..2024-10,EV5,,39,retail_sales,kia_2024_retail_sales_by_model_market.xlsx
kia,asia_pacific,region,CN,2024,2024-01..2024-10,EV5,,719,retail_sales,kia_2024_retail_sales_by_model_market.xlsx
kia,latin_america,region,CN,2024,2024-01..2024-10,EV5,,407,retail_sales,kia_2024_retail_sales_by_model_market.xlsx
kia,middle_east,region,CN,2024,2024-01..2024-10,EV5,,3,retail_sales,kia_2024_retail_sales_by_model_market.xlsx
kia,CN,country,CN,2024,2024-01..2024-10,Forte,,15402,retail_sales,kia_2024_retail_sales_by_model_market.xlsx
kia,CN,country,CN,2024,2024-01..2024-10,K3,,9770,retail_sales,kia_2024_retail_sales_by_model_market.xlsx
kia,CN,country,CN,2024,2024-01..2024-10,K5 / Optima,,1228,retail_sales,kia_2024_retail_sales_by_model_market.xlsx
kia,eastern_europe,region,CN,2024,2024-01..2024-10,K5 / Optima,,1361,retail_sales,kia_2024_retail_sales_by_model_market.xlsx
kia,CN,country,CN,2024,2024-01..2024-10,KX1,,5082,retail_sales,kia_2024_retail_sales_by_model_market.xlsx
kia,asia_pacific,region,CN,2024,2024-01..2024-10,KX1,,699,retail_sales,kia_2024_retail_sales_by_model_market.xlsx
kia,CN,country,CN,2024,2024-01..2024-10,KX3 / Seltos,,13015,retail_sales,kia_2024_retail_sales_by_model_market.xlsx
kia,MX,country,CN,2024,2024-01..2024-10,KX3 / Seltos,,14020,retail_sales,kia_2024_retail_sales_by_model_market.xlsx
kia,africa,region,CN,2024,2024-01..2024-10,KX3 / Seltos,,928,retail_sales,kia_2024_retail_sales_by_model_market.xlsx
kia,asia_pacific,region,CN,2024,2024-01..2024-10,KX3 / Seltos,,594,retail_sales,kia_2024_retail_sales_by_model_market.xlsx
kia,latin_america,region,CN,2024,2024-01..2024-10,KX3 / Seltos,,9013,retail_sales,kia_2024_retail_sales_by_model_market.xlsx
kia,middle_east,region,CN,2024,2024-01..2024-10,KX3 / Seltos,,14252,retail_sales,kia_2024_retail_sales_by_model_market.xlsx
kia,CN,country,CN,2024,2024-01..2024-10,KX5 / Sportage,,10068,retail_sales,kia_2024_retail_sales_by_model_market.xlsx
kia,middle_east,region,CN,2024,2024-01..2024-10,KX5 / Sportage,,1803,retail_sales,kia_2024_retail_sales_by_model_market.xlsx
kia,CN,country,CN,2024,2024-01..2024-10,Pegas,,620,retail_sales,kia_2024_retail_sales_by_model_market.xlsx
kia,africa,region,CN,2024,2024-01..2024-10,Pegas,,2273,retail_sales,kia_2024_retail_sales_by_model_market.xlsx
kia,asia_pacific,region,CN,2024,2024-01..2024-10,Pegas,,1380,retail_sales,kia_2024_retail_sales_by_model_market.xlsx
kia,latin_america,region,CN,2024,2024-01..2024-10,Pegas,,20153,retail_sales,kia_2024_retail_sales_by_model_market.xlsx
kia,middle_east,region,CN,2024,2024-01..2024-10,Pegas,,20201,retail_sales,kia_2024_retail_sales_by_model_market.xlsx
kia,CN,country,CN,2024,2024-01..2024-10,Sonet,,176,retail_sales,kia_2024_retail_sales_by_model_market.xlsx
kia,MX,country,CN,2024,2024-01..2024-10,Sonet,,7645,retail_sales,kia_2024_retail_sales_by_model_market.xlsx
kia,africa,region,CN,2024,2024-01..2024-10,Sonet,,227,retail_sales,kia_2024_retail_sales_by_model_market.xlsx
kia,asia_pacific,region,CN,2024,2024-01..2024-10,Sonet,,2624,retail_sales,kia_2024_retail_sales_by_model_market.xlsx
kia,latin_america,region,CN,2024,2024-01..2024-10,Sonet,,6135,retail_sales,kia_2024_retail_sales_by_model_market.xlsx
kia,middle_east,region,CN,2024,2024-01..2024-10,Sonet,,3525,retail_sales,kia_2024_retail_sales_by_model_market.xlsx
