country,iso3,anchor_id,scope,target_type,base_year,base_value,base_unit,target_year,target_value,reduction,reduction_upper,conditional,communicated,document,source_url,source_id,verified,parse_status,target_text,origin,note
AE,ARE,ae_third_ndc,economy,reduction_from_base,2019,,,2035,,0.47,,no,third_ndc,third_ndc,https://www.climatewatchdata.org/ndcs/country/ARE,climatewatch_ndc_content,no,parsed,UAE commits to reduce emissions by 47% from 2019 levels by 2035.,climatewatch,Climate Watch type: Base year target; target year field: 2035
AL,ALB,al_revised_first_ndc,economy,bau_reduction,,,,,,,,no,revised_first_ndc,revised_first_ndc,https://www.climatewatchdata.org/ndcs/country/ALB,climatewatch_ndc_content,no,not_usable,Albania commits to reducing its emissions by 20.9% by 2030 compared to BAU.,climatewatch,Climate Watch type: Baseline scenario target; target year field: 2030
AO,AGO,ao_third_ndc,economy,reduction_from_base,2020,,,2035,,0.11,,no,third_ndc,third_ndc,https://www.climatewatchdata.org/ndcs/country/AGO,climatewatch_ndc_content,no,parsed,"Angola commits to reducing emissions by 5% by 2035 compared to 2020 levels (unconditional), and by 11% by 2035 compared to 2020 levels (conditional).",climatewatch,Climate Watch type: Base year target; target year field: 2035
AR,,ar_second_ndc_2030,economy,absolute_level,2018,366,MtCO2e_net,2030,349,,,no,2021-11-02,,https://www.climatewatchdata.org/countries/ARG,climatewatch_ndc_content,no,hand,,hand,Second NDC: economy-wide unconditional cap of net emissions at 349 MtCO2e in 2030; national inventory (INGEI) 2018 net emissions 366 MtCO2e (2020: 376 MtCO2e) as summarised on the Climate Watch country page
AU,AUS,au_second_ndc,economy,reduction_from_base,2005,,,2035,,0.62,0.7,no,second_ndc,second_ndc,https://www.climatewatchdata.org/ndcs/country/AUS,climatewatch_ndc_content,no,parsed,"Australia commits to reducing its emissions by 62-70% below 2005 levels by 2035, implemented as an emissions budget covering the period from 2031-2035.",climatewatch,Climate Watch type: Base year target; target year field: 2035
BD,BGD,bd_third_ndc,economy,bau_reduction,,,,,,,,no,third_ndc,third_ndc,https://www.climatewatchdata.org/ndcs/country/BGD,climatewatch_ndc_content,no,not_usable,Bangladesh commits to cumulative emissions reductions of 26.74 MtCO₂eq CO2eq (6.39%) below BAU in 2035 (unconditional) and 58.23 MtCO₂eq (13.92%) below BAU in 2035 (conditional).,climatewatch,Climate Watch type: Baseline scenario target; target year field: 2035
BE,,eu_2040_economy,economy,reduction_from_base,1990,,,2040,,0.90,,no,2024-02-06,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:52024DC0063,ec_2040_com_2024_63,no,hand,,hand,EU member state: the EU-wide 2040 target (90% below 1990) is the furthest stated pathway and the same anchor the automotive sector uses; the EU NDC 3.0 (66.25-72.5% by 2035) is the nearer waypoint
BG,,eu_2040_economy,economy,reduction_from_base,1990,,,2040,,0.90,,no,2024-02-06,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:52024DC0063,ec_2040_com_2024_63,no,hand,,hand,EU member state: the EU-wide 2040 target (90% below 1990) is the furthest stated pathway and the same anchor the automotive sector uses; the EU NDC 3.0 (66.25-72.5% by 2035) is the nearer waypoint
BH,BHR,bh_third_ndc,economy,none,,,,,,,,no,third_ndc,third_ndc,https://www.climatewatchdata.org/ndcs/country/BHR,climatewatch_ndc_content,no,no_ndc_target_on_file,Not Applicable,climatewatch,Climate Watch type: Not Applicable; target year field: 2035
BJ,BEN,bj_third_ndc,economy,bau_reduction,,,,,,,,no,third_ndc,third_ndc,https://www.climatewatchdata.org/ndcs/country/BEN,climatewatch_ndc_content,no,not_usable,"Benin commits to a 32.5% reduction in cumulative emissions (excluding forestry) over the 2026-2035 period, and 33.7% including forestry.",climatewatch,Climate Watch type: Baseline scenario target; Trajectory target; target year field: 2035
BN,BRN,bn_third_ndc,economy,bau_reduction,,,,,,,,no,third_ndc,third_ndc,https://www.climatewatchdata.org/ndcs/country/BRN,climatewatch_ndc_content,no,not_usable,Brunei commits to reducing its emissions by 20% relative to the BAU scenario by 2035.,climatewatch,Climate Watch type: Baseline scenario target; target year field: 2035
BR,BRA,br_second_ndc,economy,reduction_from_base,2005,,,2035,,0.59,0.67,no,second_ndc,second_ndc,https://www.climatewatchdata.org/ndcs/country/BRA,climatewatch_ndc_content,no,parsed,Brazil commits to reducing its emissions by 59 to 67 % below 2005 levels by 2035.,climatewatch,Climate Watch type: Base year target; target year field: 2035
CA,CAN,ca_second_ndc,economy,reduction_from_base,2005,,,2035,,0.45,0.5,no,second_ndc,second_ndc,https://www.climatewatchdata.org/ndcs/country/CAN,climatewatch_ndc_content,no,parsed,Canada commits to reduce its emissions by 45-50% compared to 2005 levels by 2035.,climatewatch,Climate Watch type: Base year target; target year field: 2035
