company,market,cohort_year,powertrain,scenario,t,calendar_year,units,e_ref_tco2e,e_prod_tco2e,ti_tco2e,cumulative_ti_tco2e,e_ref_kgco2e_per_vehicle,e_prod_kgco2e_per_vehicle,gap_kgco2e_per_vehicle,direction
hyundai,EU27,2024,BEV,S1,0,2024,41044,72903.6726,19079.9605,-53823.7121,-53823.7121,1776.2322,464.866,-1311.3661,contribution
hyundai,EU27,2024,BEV,S1,1,2025,41044,70944.7062,18127.3461,-52817.3601,-106641.0722,1728.5037,441.6564,-1286.8473,contribution
hyundai,EU27,2024,BEV,S1,2,2026,41044,69050.0947,17230.4198,-51819.6749,-158460.7471,1682.3432,419.8036,-1262.5396,contribution
hyundai,EU27,2024,BEV,S1,3,2027,41044,67217.1699,16385.3242,-50831.8457,-209292.5928,1637.6857,399.2136,-1238.472,contribution
hyundai,EU27,2024,BEV,S1,4,2028,41044,65443.4198,15588.5106,-49854.9092,-259147.502,1594.4698,379.8,-1214.6698,contribution
hyundai,EU27,2024,BEV,S1,5,2029,41044,63726.4696,14836.713,-48889.7566,-308037.2586,1552.6379,361.4831,-1191.1548,contribution
hyundai,EU27,2024,BEV,S1,6,2030,41044,62064.079,14126.9202,-47937.1588,-355974.4174,1512.1352,344.1897,-1167.9456,contribution
hyundai,EU27,2024,BEV,S1,7,2031,41044,60454.1269,13456.3554,-46997.7715,-402972.1889,1472.9102,327.8519,-1145.0583,contribution
hyundai,EU27,2024,BEV,S1,8,2032,41044,58894.6055,12822.4574,-46072.1481,-449044.337,1434.9139,312.4076,-1122.5063,contribution
hyundai,EU27,2024,BEV,S1,9,2033,41044,57383.6119,12222.8567,-45160.7552,-494205.0922,1398.0999,297.7989,-1100.301,contribution
hyundai,EU27,2024,BEV,S1,10,2034,41044,55919.3421,11655.365,-44263.9771,-538469.0693,1362.4243,283.9724,-1078.4518,contribution
hyundai,EU27,2024,BEV,S1,11,2035,41044,54500.0801,11117.9575,-43382.1226,-581851.1919,1327.8452,270.879,-1056.9662,contribution
hyundai,EU27,2024,BEV,S1,12,2036,41044,53124.1967,10608.7572,-42515.4395,-624366.6314,1294.3231,258.4728,-1035.8503,contribution
hyundai,EU27,2024,BEV,S1,13,2037,41044,51790.1421,10126.0268,-41664.1153,-666030.7467,1261.82,246.7115,-1015.1085,contribution
hyundai,EU27,2024,BEV,S1,14,2038,39570,48536.3367,9433.9917,-39102.345,-705133.0917,1226.5943,238.4127,-988.1816,contribution
hyundai,EU27,2024,BEV,S1,15,2039,19607,23253.7095,2739.9579,-20513.7516,-725646.8433,1185.9902,139.7439,-1046.2463,contribution
hyundai,EU27,2024,BEV,S1,16,2040,14447,17943.8257,1845.1851,-16098.6406,-741745.4839,1242.0451,127.721,-1114.3241,contribution
hyundai,EU27,2024,BEV,S1,17,2041,8380,10483.3255,1514.9954,-8968.3301,-750713.814,1250.9935,180.787,-1070.2065,contribution
hyundai,EU27,2024,BEV,S1,18,2042,8166,9801.5946,1393.1432,-8408.4514,-759122.2654,1200.2932,170.6029,-1029.6904,contribution
hyundai,EU27,2024,BEV,S1,19,2043,5697,6495.7844,765.4615,-5730.3229,-764852.5883,1140.2114,134.3622,-1005.8492,contribution
hyundai,EU27,2024,BEV,S1,20,2044,5539,6015.5286,708.3538,-5307.1748,-770159.7631,1086.0315,127.8848,-958.1467,contribution
hyundai,EU27,2024,BEV,S1,21,2045,3049,3024.9616,515.3511,-2509.6105,-772669.3736,992.116,169.023,-823.093,contribution
hyundai,EU27,2024,BEV,S1,22,2046,2408,1985.6274,408.4524,-1577.175,-774246.5486,824.5961,169.6231,-654.973,contribution
hyundai,EU27,2024,BEV,S1,23,2047,1186,1687.8134,375.8727,-1311.9407,-775558.4893,1423.1142,316.9247,-1106.1895,contribution
hyundai,EU27,2024,BEV,S1,24,2048,608,726.3244,94.8955,-631.4289,-776189.9182,1194.6125,156.0781,-1038.5344,contribution
hyundai,EU27,2024,BEV,S2,0,2024,41044,72903.6726,19079.9605,-53823.7121,-53823.7121,1776.2322,464.866,-1311.3661,contribution
hyundai,EU27,2024,BEV,S2,1,2025,41044,63054.2632,17446.7183,-45607.5449,-99431.257,1536.2602,425.0735,-1111.1867,contribution
hyundai,EU27,2024,BEV,S2,2,2026,41044,54535.5256,15953.2811,-38582.2445,-138013.5015,1328.7088,388.6873,-940.0216,contribution
hyundai,EU27,2024,BEV,S2,3,2027,41044,47167.6846,14587.6823,-32580.0023,-170593.5038,1149.198,355.4157,-793.7823,contribution
hyundai,EU27,2024,BEV,S2,4,2028,41044,40795.2506,13338.979,-27456.2716,-198049.7754,993.9394,324.9922,-668.9473,contribution
hyundai,EU27,2024,BEV,S2,5,2029,41044,35283.7433,12197.1634,-23086.5799,-221136.3553,859.6565,297.1729,-562.4837,contribution
hyundai,EU27,2024,BEV,S2,6,2030,41044,30516.8501,11153.0882,-19363.7619,-240500.1172,743.5155,271.7349,-471.7806,contribution
