market,country,segment,scenario,t,calendar_year,r_fleet,r_power,fleet_intensity_gco2_km,e_ref_kgco2_per_vehicle,grid_kgco2_per_kwh
KR,KR,passenger_car,S1,0,2024,-0.002030116,0.021794021,203.252018,2431.583261,0.41551
KR,KR,passenger_car,S1,1,2025,-0.002030116,0.021794021,203.252018,2436.519657,0.406454366
KR,KR,passenger_car,S1,2,2026,-0.002030116,0.021794021,203.252018,2441.466075,0.397596091
KR,KR,passenger_car,S1,3,2027,-0.002030116,0.021794021,203.252018,2446.422534,0.388930874
KR,KR,passenger_car,S1,4,2028,-0.002030116,0.021794021,203.252018,2451.389056,0.380454506
KR,KR,passenger_car,S1,5,2029,-0.002030116,0.021794021,203.252018,2456.36566,0.372162873
KR,KR,passenger_car,S1,6,2030,-0.002030116,0.021794021,203.252018,2461.352367,0.364051947
KR,KR,passenger_car,S1,7,2031,-0.002030116,0.021794021,203.252018,2466.349198,0.356117791
KR,KR,passenger_car,S1,8,2032,-0.002030116,0.021794021,203.252018,2471.356173,0.348356553
KR,KR,passenger_car,S1,9,2033,-0.002030116,0.021794021,203.252018,2476.373313,0.340764463
KR,KR,passenger_car,S1,10,2034,-0.002030116,0.021794021,203.252018,2481.400638,0.333337835
KR,KR,passenger_car,S1,11,2035,-0.002030116,0.021794021,203.252018,2486.438169,0.326073063
KR,KR,passenger_car,S1,12,2036,-0.002030116,0.021794021,203.252018,2491.485927,0.31896662
KR,KR,passenger_car,S1,13,2037,-0.002030116,0.021794021,203.252018,2496.543932,0.312015055
KR,KR,passenger_car,S1,14,2038,-0.002030116,0.021794021,203.252018,2501.612206,0.305214992
KR,KR,passenger_car,S2,0,2024,0.1051834,0.077079959,203.252018,2431.583261,0.41551
KR,KR,passenger_car,S2,1,2025,0.1051834,0.077079959,203.252018,2175.821067,0.383482506
KR,KR,passenger_car,S2,2,2026,0.1051834,0.077079959,203.252018,1946.960809,0.35392369
KR,KR,passenger_car,S2,3,2027,0.1051834,0.077079959,203.252018,1742.172851,0.326643267
KR,KR,passenger_car,S2,4,2028,0.1051834,0.077079959,203.252018,1558.925188,0.301465617
KR,KR,passenger_car,S2,5,2029,0.1051834,0.077079959,203.252018,1394.952136,0.27822866
KR,KR,passenger_car,S2,6,2030,0.1051834,0.077079959,203.252018,1248.226327,0.256782806
KR,KR,passenger_car,S2,7,2031,0.1051834,0.077079959,203.252018,1116.933638,0.236989998
KR,KR,passenger_car,S2,8,2032,0.1051834,0.077079959,203.252018,999.450761,0.218722819
KR,KR,passenger_car,S2,9,2033,0.1051834,0.077079959,203.252018,894.325132,0.201863673
KR,KR,passenger_car,S2,10,2034,0.1051834,0.077079959,203.252018,800.256974,0.186304029
KR,KR,passenger_car,S2,11,2035,0.1051834,0.077079959,203.252018,716.083224,0.171943722
KR,KR,passenger_car,S2,12,2036,0.1051834,0.077079959,203.252018,640.763156,0.158690307
KR,KR,passenger_car,S2,13,2037,0.1051834,0.077079959,203.252018,573.365509,0.146458465
KR,KR,passenger_car,S2,14,2038,0.1051834,0.077079959,203.252018,513.056975,0.135169452
KR,KR,freight,S1,0,2024,-0.002030116,0.021794021,428.145997,7434.001158,0.41551
KR,KR,freight,S1,1,2025,-0.002030116,0.021794021,428.145997,7449.093043,0.406454366
KR,KR,freight,S1,2,2026,-0.002030116,0.021794021,428.145997,7464.215566,0.397596091
KR,KR,freight,S1,3,2027,-0.002030116,0.021794021,428.145997,7479.368789,0.388930874
KR,KR,freight,S1,4,2028,-0.002030116,0.021794021,428.145997,7494.552775,0.380454506
KR,KR,freight,S1,5,2029,-0.002030116,0.021794021,428.145997,7509.767587,0.372162873
KR,KR,freight,S1,6,2030,-0.002030116,0.021794021,428.145997,7525.013286,0.364051947
KR,KR,freight,S1,7,2031,-0.002030116,0.021794021,428.145997,7540.289936,0.356117791
KR,KR,freight,S1,8,2032,-0.002030116,0.021794021,428.145997,7555.597599,0.348356553
KR,KR,freight,S1,9,2033,-0.002030116,0.021794021,428.145997,7570.936339,0.340764463
KR,KR,freight,S1,10,2034,-0.002030116,0.021794021,428.145997,7586.306218,0.333337835
KR,KR,freight,S1,11,2035,-0.002030116,0.021794021,428.145997,7601.707299,0.326073063
KR,KR,freight,S1,12,2036,-0.002030116,0.021794021,428.145997,7617.139647,0.31896662
KR,KR,freight,S1,13,2037,-0.002030116,0.021794021,428.145997,7632.603324,0.312015055
KR,KR,freight,S1,14,2038,-0.002030116,0.021794021,428.145997,7648.098394,0.305214992
KR,KR,freight,S1,15,2039,-0.002030116,0.021794021,428.145997,7663.624921,0.29856313
KR,KR,freight,S1,16,2040,-0.002030116,0.021794021,428.145997,7679.182969,0.292056239
KR,KR,freight,S2,0,2024,0.1051834,0.077079959,428.145997,7434.001158,0.41551
KR,KR,freight,S2,1,2025,0.1051834,0.077079959,428.145997,6652.067641,0.383482506
