market,company,cohort_year,scenario,t,calendar_year,surviving_vehicles,ti_tco2e
EU27,hyundai,2024,S1,0,2024,409957,11903.8979
EU27,hyundai,2024,S1,1,2025,409957,-1872.4219
EU27,hyundai,2024,S1,2,2026,409957,-15297.0022
EU27,hyundai,2024,S1,3,2027,409957,-28378.6171
EU27,hyundai,2024,S1,4,2028,409957,-41125.8076
EU27,hyundai,2024,S1,5,2029,409957,-53546.8886
EU27,hyundai,2024,S1,6,2030,409957,-65649.9529
EU27,hyundai,2024,S1,7,2031,409957,-77442.8775
EU27,hyundai,2024,S1,8,2032,409957,-88933.3285
EU27,hyundai,2024,S1,9,2033,409957,-100128.767
EU27,hyundai,2024,S1,10,2034,409957,-111036.4538
EU27,hyundai,2024,S1,11,2035,409957,-121663.4553
EU27,hyundai,2024,S1,12,2036,409957,-132016.6483
EU27,hyundai,2024,S1,13,2037,409957,-142102.7248
EU27,hyundai,2024,S1,14,2038,399046,-145356.2888
EU27,hyundai,2024,S1,15,2039,291800,-109543.9766
EU27,hyundai,2024,S1,16,2040,251780,-103402.3343
EU27,hyundai,2024,S1,17,2041,204584,-93603.8958
EU27,hyundai,2024,S1,18,2042,201927,-97654.6712
EU27,hyundai,2024,S1,19,2043,124163,-49680.8992
EU27,hyundai,2024,S1,20,2044,120826,-52860.6074
EU27,hyundai,2024,S1,21,2045,50393,-12009.5462
EU27,hyundai,2024,S1,22,2046,45230,-11543.183
EU27,hyundai,2024,S1,23,2047,41153,-7801.4801
EU27,hyundai,2024,S1,24,2048,9686,-6222.1706
EU27,hyundai,2024,S2,0,2024,409957,11903.8979
EU27,hyundai,2024,S2,1,2025,409957,-84431.1038
EU27,hyundai,2024,S2,2,2026,409957,-167670.2359
EU27,hyundai,2024,S2,3,2027,409957,-239589.6931
EU27,hyundai,2024,S2,4,2028,409957,-301725.1107
EU27,hyundai,2024,S2,5,2029,409957,-355404.1157
EU27,hyundai,2024,S2,6,2030,409957,-401774.4746
EU27,hyundai,2024,S2,7,2031,409957,-441828.4362
EU27,hyundai,2024,S2,8,2032,409957,-476423.7806
EU27,hyundai,2024,S2,9,2033,409957,-506302.0214
EU27,hyundai,2024,S2,10,2034,409957,-532104.1466
EU27,hyundai,2024,S2,11,2035,409957,-554384.2287
EU27,hyundai,2024,S2,12,2036,409957,-573621.1945
EU27,hyundai,2024,S2,13,2037,409957,-590229.0024
EU27,hyundai,2024,S2,14,2038,399046,-586444.0736
EU27,hyundai,2024,S2,15,2039,291800,-446193.3357
EU27,hyundai,2024,S2,16,2040,251780,-397696.8748
EU27,hyundai,2024,S2,17,2041,204584,-340200.2046
EU27,hyundai,2024,S2,18,2042,201927,-339105.1725
EU27,hyundai,2024,S2,19,2043,124163,-209964.6475
