market,company,destination,cohort_year,model,powertrain,units,reason,coverage_note
EU27,hyundai,DE,2024,,BEV,8,the registration dataset reports no certified intensity for this cell,
EU27,hyundai,DE,2024,AX1,BEV,8,the registration dataset reports no certified intensity for this cell,
EU27,hyundai,DE,2024,CE,BEV,2,the registration dataset reports no certified intensity for this cell,
EU27,hyundai,DE,2024,CE EV,BEV,1,the registration dataset reports no certified intensity for this cell,
EU27,hyundai,DE,2024,CE N,BEV,6,the registration dataset reports no certified intensity for this cell,
EU27,hyundai,DE,2024,CE PE,BEV,1,the registration dataset reports no certified intensity for this cell,
EU27,hyundai,DE,2024,CV E GT,BEV,1,the registration dataset reports no certified intensity for this cell,
EU27,hyundai,DE,2024,IONIQ9,BEV,1,the registration dataset reports no certified intensity for this cell,
EU27,hyundai,DE,2024,JW,BEV,1,the registration dataset reports no certified intensity for this cell,
EU27,hyundai,DE,2024,JW1 EV,BEV,1,the registration dataset reports no certified intensity for this cell,
EU27,hyundai,DE,2024,ME,BEV,4,the registration dataset reports no certified intensity for this cell,
EU27,hyundai,DE,2024,NE PE,BEV,5,the registration dataset reports no certified intensity for this cell,
EU27,hyundai,DE,2024,NE-N,BEV,2,the registration dataset reports no certified intensity for this cell,
EU27,hyundai,DE,2024,SX2,BEV,1,the registration dataset reports no certified intensity for this cell,
EU27,hyundai,DE,2024,SX2 E,BEV,2,the registration dataset reports no certified intensity for this cell,
EU27,hyundai,LU,2024,GV60 GENESIS GV60,BEV,1,"destination benchmark withheld: the national car CO2 inventory and the registered stock cover different driving populations (FLEET_INTENSITY_IMPLAUSIBLE), so no defensible benchmark exists; market reported separately",
EU27,hyundai,LU,2024,IONIQ5,BEV,168,"destination benchmark withheld: the national car CO2 inventory and the registered stock cover different driving populations (FLEET_INTENSITY_IMPLAUSIBLE), so no defensible benchmark exists; market reported separately",
EU27,hyundai,LU,2024,IONIQ5 N,BEV,18,"destination benchmark withheld: the national car CO2 inventory and the registered stock cover different driving populations (FLEET_INTENSITY_IMPLAUSIBLE), so no defensible benchmark exists; market reported separately",
EU27,hyundai,LU,2024,IONIQ6,BEV,76,"destination benchmark withheld: the national car CO2 inventory and the registered stock cover different driving populations (FLEET_INTENSITY_IMPLAUSIBLE), so no defensible benchmark exists; market reported separately",
EU27,hyundai,LU,2024,KONA KAUAI,BEV,231,"destination benchmark withheld: the national car CO2 inventory and the registered stock cover different driving populations (FLEET_INTENSITY_IMPLAUSIBLE), so no defensible benchmark exists; market reported separately",
EU27,hyundai,BE,2024,NEXO,FCEV,2,no sourced hydrogen supply emissions intensity for the destination,
EU27,hyundai,DE,2024,NEXO,FCEV,8,no sourced hydrogen supply emissions intensity for the destination,
EU27,hyundai,DE,2024,NH2,FCEV,2,no sourced hydrogen supply emissions intensity for the destination,
EU27,hyundai,ES,2024,NEXO,FCEV,7,no sourced hydrogen supply emissions intensity for the destination,
