market,company,destination,model,powertrain,scenario,units,ti_per_vehicle_kgco2e,crossover_year,crossover_calendar_year,reason
EU27,hyundai,AT,BAYON,HEV,S1,60,2794.6135,10.458,2034.5,within lifetime
EU27,hyundai,AT,BAYON,ICE,S1,705,2247.1651,9.701,2033.7,within lifetime
EU27,hyundai,AT,G70 GENESIS G70,ICE,S1,1,-17234.2526,,,crossover before sale year (product already above benchmark at t=0)
EU27,hyundai,AT,G90 GENESIS G90,HEV,S1,2,-26996.9795,,,crossover before sale year (product already above benchmark at t=0)
EU27,hyundai,AT,GV70 GENESIS GV70,BEV,S1,1,26735.8333,,,never crosses: below benchmark at sale and the grid decarbonises at least as fast as the fleet benchmark
EU27,hyundai,AT,GV70 GENESIS GV70,ICE,S1,1,-12925.4913,,,crossover before sale year (product already above benchmark at t=0)
EU27,hyundai,AT,I 30,HEV,S1,324,-1507.402,4.892,2028.9,within lifetime
EU27,hyundai,AT,I 30,ICE,S1,1631,199.8572,7.001,2031.0,within lifetime
EU27,hyundai,AT,I 30 N,ICE,S1,17,-11620.1952,,,crossover before sale year (product already above benchmark at t=0)
EU27,hyundai,AT,I10,ICE,S1,1575,3923.2733,12.068,2036.1,within lifetime
EU27,hyundai,AT,I20,ICE,S1,2058,3079.6394,10.858,2034.9,within lifetime
EU27,hyundai,AT,I20 N,ICE,S1,42,-4738.8449,1.2,2025.2,within lifetime
EU27,hyundai,AT,IONIQ5,BEV,S1,144,26933.142,,,never crosses: below benchmark at sale and the grid decarbonises at least as fast as the fleet benchmark
EU27,hyundai,AT,IONIQ5 N,BEV,S1,77,26438.8871,,,never crosses: below benchmark at sale and the grid decarbonises at least as fast as the fleet benchmark
EU27,hyundai,AT,IONIQ6,BEV,S1,51,27180.7236,,,never crosses: below benchmark at sale and the grid decarbonises at least as fast as the fleet benchmark
EU27,hyundai,AT,KONA KAUAI,BEV,S1,527,27290.7449,,,never crosses: below benchmark at sale and the grid decarbonises at least as fast as the fleet benchmark
EU27,hyundai,AT,KONA KAUAI,HEV,S1,630,6122.8821,15.424,2039.4,after lifetime
EU27,hyundai,AT,KONA KAUAI,ICE,S1,451,-121.9642,6.594,2030.6,within lifetime
EU27,hyundai,AT,SANTA FE,HEV,S1,11,-5828.2126,0.034,2024.0,within lifetime
EU27,hyundai,AT,SANTA FE,ICE,S1,8,-8778.3086,,,crossover before sale year (product already above benchmark at t=0)
EU27,hyundai,AT,STARIA,HEV,S1,1,-8377.2339,,,crossover before sale year (product already above benchmark at t=0)
EU27,hyundai,AT,STARIA,ICE,S1,17,-19566.0465,,,crossover before sale year (product already above benchmark at t=0)
EU27,hyundai,AT,STARIA PREMIUM,ICE,S1,2,-20681.2616,,,crossover before sale year (product already above benchmark at t=0)
EU27,hyundai,AT,TUCSON IX35,HEV,S1,1849,-2434.7749,3.794,2027.8,within lifetime
EU27,hyundai,AT,TUCSON IX35,ICE,S1,727,-4500.8936,1.46,2025.5,within lifetime
EU27,hyundai,BE,BAYON,HEV,S1,309,-6129.3015,,,crossover before sale year (product already above benchmark at t=0)
EU27,hyundai,BE,BAYON,ICE,S1,493,-6553.4215,,,crossover before sale year (product already above benchmark at t=0)
EU27,hyundai,BE,G80 GENESIS G80,ICE,S1,1,-23144.1443,,,crossover before sale year (product already above benchmark at t=0)
EU27,hyundai,BE,G90 GENESIS G90,HEV,S1,1,-37200.3821,,,crossover before sale year (product already above benchmark at t=0)
EU27,hyundai,BE,I 30,HEV,S1,542,-7567.9464,,,crossover before sale year (product already above benchmark at t=0)
EU27,hyundai,BE,I 30,ICE,S1,157,-7896.7089,,,crossover before sale year (product already above benchmark at t=0)
EU27,hyundai,BE,I 30 N,ICE,S1,42,-22902.3415,,,crossover before sale year (product already above benchmark at t=0)
EU27,hyundai,BE,I10,ICE,S1,1255,-5117.2092,,,crossover before sale year (product already above benchmark at t=0)
EU27,hyundai,BE,I20,HEV,S1,5,-6221.5986,,,crossover before sale year (product already above benchmark at t=0)
EU27,hyundai,BE,I20,ICE,S1,1171,-6001.5306,,,crossover before sale year (product already above benchmark at t=0)
EU27,hyundai,BE,I20 N,ICE,S1,48,-14922.8471,,,crossover before sale year (product already above benchmark at t=0)
EU27,hyundai,BE,IONIQ5,BEV,S1,468,19862.2102,,,never crosses: below benchmark at sale and the grid decarbonises at least as fast as the fleet benchmark
EU27,hyundai,BE,IONIQ5 N,BEV,S1,71,19126.3305,,,never crosses: below benchmark at sale and the grid decarbonises at least as fast as the fleet benchmark
EU27,hyundai,BE,IONIQ6,BEV,S1,347,20357.3177,,,never crosses: below benchmark at sale and the grid decarbonises at least as fast as the fleet benchmark
EU27,hyundai,BE,KONA KAUAI,BEV,S1,588,20315.067,,,never crosses: below benchmark at sale and the grid decarbonises at least as fast as the fleet benchmark
EU27,hyundai,BE,KONA KAUAI,HEV,S1,1274,-2697.6145,2.473,2026.5,within lifetime
EU27,hyundai,BE,KONA KAUAI,ICE,S1,576,-8932.3505,,,crossover before sale year (product already above benchmark at t=0)
EU27,hyundai,BE,KONA N KAUAI N,ICE,S1,5,-23627.75,,,crossover before sale year (product already above benchmark at t=0)
EU27,hyundai,BE,SANTA FE,HEV,S1,38,-15040.324,,,crossover before sale year (product already above benchmark at t=0)
EU27,hyundai,BE,STARIA,HEV,S1,1,-19006.4934,,,crossover before sale year (product already above benchmark at t=0)
EU27,hyundai,BE,STARIA,ICE,S1,12,-30599.7244,,,crossover before sale year (product already above benchmark at t=0)
EU27,hyundai,BE,STARIA PREMIUM,HEV,S1,1,-19006.4934,,,crossover before sale year (product already above benchmark at t=0)
EU27,hyundai,BE,STARIA PREMIUM,ICE,S1,3,-30398.2301,,,crossover before sale year (product already above benchmark at t=0)
EU27,hyundai,BE,TUCSON IX35,HEV,S1,3307,-10324.6893,,,crossover before sale year (product already above benchmark at t=0)
EU27,hyundai,BE,TUCSON IX35,ICE,S1,196,-13003.2226,,,crossover before sale year (product already above benchmark at t=0)
EU27,hyundai,BG,BAYON,HEV,S1,2,11950.4722,,,"r_fleet <= 0: benchmark non-declining, no crossover"
EU27,hyundai,BG,BAYON,ICE,S1,121,11402.0524,,,"r_fleet <= 0: benchmark non-declining, no crossover"
EU27,hyundai,BG,ELANTRA,ICE,S1,37,7647.3835,,,"r_fleet <= 0: benchmark non-declining, no crossover"
EU27,hyundai,BG,GV80 GENESIS GV80,ICE,S1,1,-21337.7655,,,"r_fleet <= 0: benchmark non-declining, no crossover"
EU27,hyundai,BG,I 30,HEV,S1,29,6936.8538,,,"r_fleet <= 0: benchmark non-declining, no crossover"
EU27,hyundai,BG,I 30,ICE,S1,236,7857.8076,,,"r_fleet <= 0: benchmark non-declining, no crossover"
EU27,hyundai,BG,I 30 N,ICE,S1,5,-6383.4914,,,"r_fleet <= 0: benchmark non-declining, no crossover"
EU27,hyundai,BG,I10,ICE,S1,284,12604.1523,,,"r_fleet <= 0: benchmark non-declining, no crossover"
EU27,hyundai,BG,I20,ICE,S1,253,12186.4969,,,"r_fleet <= 0: benchmark non-declining, no crossover"
EU27,hyundai,BG,I20 N,ICE,S1,5,2130.6208,,,"r_fleet <= 0: benchmark non-declining, no crossover"
EU27,hyundai,BG,IONIQ5,BEV,S1,24,37538.0377,,,never crosses: below benchmark at sale and the grid decarbonises at least as fast as the fleet benchmark
