market,company,destination,cohort_year,segment,model,powertrain,scenario,t,calendar_year,units,e_ref_kgco2e_per_vehicle,e_prod_kgco2e_per_vehicle,gap_kgco2e_per_vehicle,ti_tco2e,tier
EU27,hyundai,AT,2024,passenger_car,BAYON,HEV,S1,0,2024,60,2344.0617,1767.0504,577.0113,34.6207,C
EU27,hyundai,AT,2024,passenger_car,BAYON,HEV,S1,1,2025,60,2281.5732,1767.0504,514.5228,30.8714,C
EU27,hyundai,AT,2024,passenger_car,BAYON,HEV,S1,2,2026,60,2220.7505,1767.0504,453.7001,27.222,C
EU27,hyundai,AT,2024,passenger_car,BAYON,HEV,S1,3,2027,60,2161.5492,1767.0504,394.4988,23.6699,C
EU27,hyundai,AT,2024,passenger_car,BAYON,HEV,S1,4,2028,60,2103.9261,1767.0504,336.8758,20.2125,C
EU27,hyundai,AT,2024,passenger_car,BAYON,HEV,S1,5,2029,60,2047.8392,1767.0504,280.7888,16.8473,C
EU27,hyundai,AT,2024,passenger_car,BAYON,HEV,S1,6,2030,60,1993.2474,1767.0504,226.197,13.5718,C
EU27,hyundai,AT,2024,passenger_car,BAYON,HEV,S1,7,2031,60,1940.111,1767.0504,173.0606,10.3836,C
EU27,hyundai,AT,2024,passenger_car,BAYON,HEV,S1,8,2032,60,1888.391,1767.0504,121.3407,7.2804,C
EU27,hyundai,AT,2024,passenger_car,BAYON,HEV,S1,9,2033,60,1838.0499,1767.0504,70.9995,4.26,C
EU27,hyundai,AT,2024,passenger_car,BAYON,HEV,S1,10,2034,60,1789.0507,1767.0504,22.0004,1.32,C
EU27,hyundai,AT,2024,passenger_car,BAYON,HEV,S1,11,2035,60,1741.3578,1767.0504,-25.6926,-1.5416,C
EU27,hyundai,AT,2024,passenger_car,BAYON,HEV,S1,12,2036,60,1694.9363,1767.0504,-72.1141,-4.3268,C
EU27,hyundai,AT,2024,passenger_car,BAYON,HEV,S1,13,2037,60,1649.7523,1767.0504,-117.2981,-7.0379,C
EU27,hyundai,AT,2024,passenger_car,BAYON,HEV,S1,14,2038,60,1605.7728,1767.0504,-161.2776,-9.6767,C
EU27,hyundai,AT,2024,passenger_car,BAYON,ICE,S1,0,2024,705,2344.0617,1803.5469,540.5148,381.0629,C
EU27,hyundai,AT,2024,passenger_car,BAYON,ICE,S1,1,2025,705,2281.5732,1803.5469,478.0262,337.0085,C
EU27,hyundai,AT,2024,passenger_car,BAYON,ICE,S1,2,2026,705,2220.7505,1803.5469,417.2035,294.1285,C
EU27,hyundai,AT,2024,passenger_car,BAYON,ICE,S1,3,2027,705,2161.5492,1803.5469,358.0023,252.3916,C
EU27,hyundai,AT,2024,passenger_car,BAYON,ICE,S1,4,2028,705,2103.9261,1803.5469,300.3792,211.7673,C
EU27,hyundai,AT,2024,passenger_car,BAYON,ICE,S1,5,2029,705,2047.8392,1803.5469,244.2922,172.226,C
EU27,hyundai,AT,2024,passenger_car,BAYON,ICE,S1,6,2030,705,1993.2474,1803.5469,189.7005,133.7388,C
EU27,hyundai,AT,2024,passenger_car,BAYON,ICE,S1,7,2031,705,1940.111,1803.5469,136.564,96.2776,C
EU27,hyundai,AT,2024,passenger_car,BAYON,ICE,S1,8,2032,705,1888.391,1803.5469,84.8441,59.8151,C
EU27,hyundai,AT,2024,passenger_car,BAYON,ICE,S1,9,2033,705,1838.0499,1803.5469,34.503,24.3246,C
